Datetime (Local),Price (EUR/MWhe)
1/1/2022 1:00,114.9
1/1/2022 2:00,113.87
1/1/2022 3:00,97.8
1/1/2022 4:00,97.8
1/1/2022 5:00,95.74
1/1/2022 6:00,97.8
1/1/2022 7:00,97.8
1/1/2022 8:00,97.8
1/1/2022 9:00,70.05
1/1/2022 10:00,76.79
1/1/2022 11:00,84.1
1/1/2022 12:00,94.74
1/1/2022 13:00,96.8
1/1/2022 14:00,97.8
1/1/2022 15:00,98.52
1/1/2022 16:00,114.5
1/1/2022 17:00,149.97
1/1/2022 18:00,177.22
1/1/2022 19:00,187.52
1/1/2022 20:00,189.26
1/1/2022 21:00,190.81
1/1/2022 22:00,188.39
1/1/2022 23:00,167.26
1/2/2022 0:00,133.21
1/2/2022 1:00,115.87
1/2/2022 2:00,110.52
1/2/2022 3:00,113
1/2/2022 4:00,115.87
1/2/2022 5:00,110.52
1/2/2022 6:00,115.87
1/2/2022 7:00,129.6
1/2/2022 8:00,115.87
1/2/2022 9:00,115.87
1/2/2022 10:00,113
1/2/2022 11:00,103.7
1/2/2022 12:00,103.7
1/2/2022 13:00,110.52
1/2/2022 14:00,115.87
1/2/2022 15:00,109.5
1/2/2022 16:00,115.87
1/2/2022 17:00,159.79
1/2/2022 18:00,194.25
1/2/2022 19:00,198
1/2/2022 20:00,208.38
1/2/2022 21:00,209.1
1/2/2022 22:00,191.36
1/2/2022 23:00,178
1/3/2022 0:00,181.5
1/3/2022 1:00,160.72
1/3/2022 2:00,154.64
1/3/2022 3:00,149.86
1/3/2022 4:00,144.49
1/3/2022 5:00,148.86
1/3/2022 6:00,153.77
1/3/2022 7:00,160.72
1/3/2022 8:00,189.26
1/3/2022 9:00,183.54
1/3/2022 10:00,160.72
1/3/2022 11:00,152.2
1/3/2022 12:00,148.86
1/3/2022 13:00,142.04
1/3/2022 14:00,127.38
1/3/2022 15:00,112.87
1/3/2022 16:00,126.8
1/3/2022 17:00,148.49
1/3/2022 18:00,175.06
1/3/2022 19:00,180
1/3/2022 20:00,153.77
1/3/2022 21:00,141.94
1/3/2022 22:00,114.11
1/3/2022 23:00,100.36
1/4/2022 0:00,125.47
