timestamp,ND,TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,SCOTTISH_TRANSFER,IFA_FLOW,IFA2_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,NEMO_FLOW,NSL_FLOW,ELECLINK_FLOW,VIKING_FLOW
2023-01-01 00:00:00,42799,49969,38725,5608,13090,0,30010,0,2217,2385,1205,1807,-1793,-902,-1058,505,392,1996,0
2023-01-01 01:00:00,41934,49843,37916,5526,13090,0,30010,0,2449,1636,1026,1972,-1821,-864,-1058,507,-517,1998,0
2023-01-01 02:00:00,38858,47640,34911,5383,13090,0,30010,0,2467,183,1209,1798,-1823,-802,-1059,505,-1431,1997,0
2023-01-01 03:00:00,36314,45247,32150,5173,13090,0,30010,0,2445,-1233,1218,1789,-1377,-802,-1059,505,-2050,1987,0
2023-01-01 04:00:00,34459,43529,30157,4975,13090,0,30010,0,2287,-1378,1133,1615,-1634,-802,-1059,504,-2088,1861,0
2023-01-01 05:00:00,34322,44298,29944,4675,13090,0,30010,0,2411,-1374,1857,1791,-1808,-802,-1059,-608,-2088,1929,0
2023-01-01 06:00:00,35863,45708,31439,4382,13090,0,30010,0,2332,-1160,1999,1965,-1759,-855,-1060,-551,-2088,1994,0
2023-01-01 07:00:00,37828,46734,33254,4074,13090,0,30010,0,1182,-1075,2013,1982,-1675,-902,-1059,-824,-2064,1996,0
2023-01-01 08:00:00,40166,47174,35498,3862,13090,104,30010,0,925,-1437,2002,1982,-899,-902,-1060,-831,-1191,1996,0
2023-01-01 09:00:00,43594,47101,38717,3755,13090,1270,30010,0,327,-594,2012,1983,310,-813,-891,140,-276,1996,0
2023-01-01 10:00:00,46917,49393,41598,3686,13090,2324,30010,0,70,-1046,2010,1983,1928,-762,-444,1925,630,1996,0
2023-01-01 11:00:00,50268,52894,44507,3682,13090,2593,30010,0,12,-1302,2010,1982,2007,-844,-570,1998,1521,1994,0
2023-01-01 12:00:00,53966,56519,47857,3565,13090,2164,30010,0,10,-1390,2010,1983,2006,-814,-529,1998,2151,1994,0
2023-01-01 13:00:00,55211,57808,48965,3317,13090,1516,30010,0,10,-1148,2009,1983,2007,-825,-562,1998,2190,1994,0
2023-01-01 14:00:00,56196,58853,49992,2978,13090,727,30010,0,9,-1472,2010,1983,2005,-741,-707,1998,2190,1996,0
2023-01-01 15:00:00,58304,61305,52004,2687,13090,95,30010,0,11,-1653,2010,1984,2006,-770,-1020,1998,2190,1996,0
2023-01-01 16:00:00,62764,65390,56035,2392,13090,0,30010,0,11,-1412,2010,1984,2006,-621,-794,2036,2190,1996,0
2023-01-01 17:00:00,65106,67862,58384,2198,13090,0,30010,0,1,-762,2010,1983,1744,-664,-891,2009,2190,1997,0
2023-01-01 18:00:00,62802,65316,56508,2053,13090,0,30010,0,10,-43,2010,1983,1993,-737,-567,2037,2190,1997,0
2023-01-01 19:00:00,59430,61750,53603,1978,13090,0,30010,0,15,298,2010,1982,2006,-551,-554,2038,2190,1996,0
2023-01-01 20:00:00,56696,58642,51114,1862,13090,0,30010,0,12,472,2010,1983,1996,-485,-249,2038,2190,1997,0
2023-01-01 21:00:00,53181,54734,48017,1770,13090,0,30010,0,11,581,2010,1982,2004,-277,-65,2000,2190,1998,0
2023-01-01 22:00:00,49285,50544,44457,1713,13090,0,30010,0,20,1404,2010,1983,2006,30,-16,1998,2199,1998,0
2023-01-01 23:00:00,44856,46934,40318,1900,13090,0,30011,0,489,1404,2010,1983,2007,-259,-130,1998,2494,1998,0
