utc_timestamp,GB_GBN_solar_profile,GB_GBN_wind_profile,GB_GBN_wind_offshore_profile,GB_GBN_wind_onshore_profile
2014-12-31T23:00:00Z,,,,
2015-01-01T00:00:00Z,,,,
2015-01-01T01:00:00Z,,0.0676,0.029,0.0884
2015-01-01T02:00:00Z,,0.068,0.0296,0.0886
2015-01-01T03:00:00Z,,0.0672,0.0284,0.088
2015-01-01T04:00:00Z,,0.0669,0.0281,0.0877
2015-01-01T05:00:00Z,,0.0662,0.0271,0.0874
2015-01-01T06:00:00Z,,0.066,0.0262,0.0875
2015-01-01T07:00:00Z,,0.0673,0.0274,0.0888
2015-01-01T08:00:00Z,,0.071,0.0315,0.0922
2015-01-01T09:00:00Z,0.0049,0.0723,0.0331,0.0934
2015-01-01T10:00:00Z,0.0236,0.076,0.0352,0.098
2015-01-01T11:00:00Z,0.0202,0.0778,0.0363,0.1002
2015-01-01T12:00:00Z,0.017,0.0829,0.0389,0.1066
2015-01-01T13:00:00Z,0.0138,0.0856,0.0399,0.1101
2015-01-01T14:00:00Z,0.0105,0.0869,0.0408,0.1116
2015-01-01T15:00:00Z,0.0346,0.0876,0.0398,0.1134
2015-01-01T16:00:00Z,0.0193,0.0883,0.0415,0.1135
2015-01-01T17:00:00Z,0.0,0.0888,0.0424,0.1136
2015-01-01T18:00:00Z,0.0,0.0893,0.0442,0.1135
2015-01-01T19:00:00Z,0.0,0.0911,0.0455,0.1157
2015-01-01T20:00:00Z,0.0,0.0923,0.0452,0.1176
2015-01-01T21:00:00Z,0.0,0.0918,0.0435,0.1176
2015-01-01T22:00:00Z,0.0,0.0934,0.044,0.1199
2015-01-01T23:00:00Z,0.0,0.0467,0.022,0.06
2015-01-02T00:00:00Z,0.0,0.0,0.0,0.0
2015-01-02T01:00:00Z,0.0,0.0952,0.0444,0.1225
2015-01-02T02:00:00Z,0.0,0.0945,0.0441,0.1216
2015-01-02T03:00:00Z,0.0,0.0914,0.0427,0.1176
2015-01-02T04:00:00Z,0.0,0.0906,0.0424,0.1166
2015-01-02T05:00:00Z,0.0,0.0894,0.042,0.1148
2015-01-02T06:00:00Z,0.0,0.0878,0.0416,0.1127
2015-01-02T07:00:00Z,0.0,0.0867,0.0412,0.1112
2015-01-02T08:00:00Z,0.0,0.0826,0.0396,0.1057
2015-01-02T09:00:00Z,0.0065,0.0813,0.0389,0.104
2015-01-02T10:00:00Z,0.0816,0.0801,0.0386,0.1024
2015-01-02T11:00:00Z,0.2489,0.0811,0.0386,0.104
2015-01-02T12:00:00Z,0.3272,0.0832,0.0387,0.1072
2015-01-02T13:00:00Z,0.2742,0.0822,0.0377,0.1061
2015-01-02T14:00:00Z,0.237,0.0801,0.0369,0.1033
2015-01-02T15:00:00Z,0.1754,0.0752,0.0368,0.0957
2015-01-02T16:00:00Z,0.0766,0.0635,0.0333,0.0798
2015-01-02T17:00:00Z,0.0011,0.0609,0.032,0.0765
2015-01-02T18:00:00Z,0.0,0.057,0.0296,0.0718
2015-01-02T19:00:00Z,0.0,0.0572,0.0285,0.0726
2015-01-02T20:00:00Z,0.0,0.0604,0.0282,0.0776
2015-01-02T21:00:00Z,0.0,0.0598,0.0257,0.0781
2015-01-02T22:00:00Z,0.0,0.0602,0.0253,0.079
2015-01-02T23:00:00Z,0.0,0.0303,0.0124,0.04
2015-01-03T00:00:00Z,0.0,0.0,0.0,0.0
2015-01-03T01:00:00Z,0.0,0.0594,0.0229,0.0791
2015-01-03T02:00:00Z,0.0,0.0582,0.0229,0.0772
2015-01-03T03:00:00Z,0.0,0.0537,0.0229,0.0703
2015-01-03T04:00:00Z,0.0,0.0507,0.0217,0.0663
2015-01-03T05:00:00Z,0.0,0.0416,0.0186,0.054
2015-01-03T06:00:00Z,0.0,0.0358,0.0171,0.0458
2015-01-03T07:00:00Z,0.0,0.0339,0.014,0.0445
2015-01-03T08:00:00Z,0.0022,0.0335,0.0101,0.0461
2015-01-03T09:00:00Z,0.0056,0.0328,0.0126,0.0436
2015-01-03T10:00:00Z,0.023,0.0284,0.011,0.0378
2015-01-03T11:00:00Z,0.0409,0.0282,0.01,0.0379
2015-01-03T12:00:00Z,0.0644,0.0299,0.0095,0.0409
2015-01-03T13:00:00Z,0.0677,0.0296,0.008,0.0411
2015-01-03T14:00:00Z,0.0582,0.0273,0.0071,0.0382
2015-01-03T15:00:00Z,0.0774,0.0272,0.0088,0.0371
2015-01-03T16:00:00Z,0.034,0.0256,0.0104,0.0338
2015-01-03T17:00:00Z,0.0006,0.0235,0.0129,0.0291
2015-01-03T18:00:00Z,0.0,0.0229,0.0138,0.0278
2015-01-03T19:00:00Z,0.0,0.0216,0.015,0.0251
2015-01-03T20:00:00Z,0.0,0.0217,0.0148,0.0253
2015-01-03T21:00:00Z,0.0,0.0203,0.0147,0.0234
2015-01-03T22:00:00Z,0.0,0.0192,0.0136,0.0222
2015-01-03T23:00:00Z,0.0,0.0091,0.0062,0.0106
2015-01-04T00:00:00Z,0.0,0.0,0.0,0.0
2015-01-04T01:00:00Z,0.0,0.0152,0.0097,0.0181
2015-01-04T02:00:00Z,0.0,0.0149,0.0088,0.0181
2015-01-04T03:00:00Z,0.0,0.0154,0.0084,0.0192
2015-01-04T04:00:00Z,0.0,0.0151,0.0073,0.0193
2015-01-04T05:00:00Z,0.0,0.0151,0.0068,0.0196
2015-01-04T06:00:00Z,0.0,0.0152,0.0066,0.0198
2015-01-04T07:00:00Z,0.0,0.0157,0.0061,0.0209
2015-01-04T08:00:00Z,0.0096,0.0161,0.0058,0.0216
2015-01-04T09:00:00Z,0.0271,0.0169,0.0056,0.023
2015-01-04T10:00:00Z,0.1016,0.0173,0.0052,0.0238
2015-01-04T11:00:00Z,0.1586,0.0191,0.0042,0.0271
2015-01-04T12:00:00Z,0.2172,0.02,0.0039,0.0287
2015-01-04T13:00:00Z,0.1956,0.0213,0.0037,0.0307
2015-01-04T14:00:00Z,0.145,0.023,0.0039,0.0333
2015-01-04T15:00:00Z,0.0905,0.0241,0.0044,0.0346
2015-01-04T16:00:00Z,0.04,0.026,0.0047,0.0374
2015-01-04T17:00:00Z,0.0011,0.0284,0.0052,0.0408
2015-01-04T18:00:00Z,0.0,0.0318,0.0056,0.0458
2015-01-04T19:00:00Z,0.0,0.0322,0.0054,0.0466
2015-01-04T20:00:00Z,0.0,0.0339,0.0049,0.0495
2015-01-04T21:00:00Z,0.0,0.0349,0.0052,0.0508
2015-01-04T22:00:00Z,0.0,0.0365,0.0066,0.0525
2015-01-04T23:00:00Z,0.0,0.0182,0.0033,0.0262
2015-01-05T00:00:00Z,0.0,0.2177,0.1699,0.2432
2015-01-05T01:00:00Z,0.0,0.2344,0.1992,0.2532
2015-01-05T02:00:00Z,0.0,0.2436,0.2244,0.2538
2015-01-05T03:00:00Z,0.0,0.2328,0.2102,0.245
2015-01-05T04:00:00Z,0.0,0.2346,0.2064,0.2497
